Hotel Name,Email,Website,Phone,Rating,Price Level,Address,Sent
Petit Palace Eixample,petitpalaceeixample@petitpalace.com,https://www.petitpalaceeixample.com/en/?utm_source=google&utm_medium=organic&utm_campaign=MyBusiness&origin_source=google&origin_medium=organic&origin_campaign=MyBusiness,934 52 73 74,3.9,,"Gran Via de les Corts Catalanes, 570, L'Eixample, 08011 Barcelona, Spain",Yes
Hotel Astoria,astoria@derbyhotels.com,https://www.hotelastoria-barcelona.com/,932 09 83 11,4.4,,"Carrer de París, 203, L'Eixample, 08036 Barcelona, Spain",Yes
Hotel Best Front Maritim Barcelona,reservas.frontmaritim@besthotels.es,https://www.besthotels.es/destinos-y-hoteles/best-front-maritim.html?utm_medium=organic&utm_source=google&utm_campaign=google-my-business&utm_term=google-local&utm_id=best-frontmaritim,933 03 44 40,3.8,,"Passeig de Garcia Fària, 69, Sant Martí, 08019 Barcelona, Spain",Yes
Hotel Best Front Maritim Barcelona,info@besthotels.es,https://www.besthotels.es/destinos-y-hoteles/best-front-maritim.html?utm_medium=organic&utm_source=google&utm_campaign=google-my-business&utm_term=google-local&utm_id=best-frontmaritim,933 03 44 40,3.8,,"Passeig de Garcia Fària, 69, Sant Martí, 08019 Barcelona, Spain",Yes
Hotel Catalonia Park Güell,booking@cataloniahotels.com,https://www.cataloniahotels.com/es/hotel/catalonia-park-guell?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=RUB,932 19 12 04,3.9,,"Passeig de la Mare de Déu del Coll, 10, Gràcia, 08023 Barcelona, Spain",Yes
Hotel Catalonia Park Güell,mexico.eventos@cataloniahotels.com,https://www.cataloniahotels.com/es/hotel/catalonia-park-guell?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=RUB,932 19 12 04,3.9,,"Passeig de la Mare de Déu del Coll, 10, Gràcia, 08023 Barcelona, Spain",Yes
Hotel Catalonia Park Güell,congresos@cataloniahotels.com,https://www.cataloniahotels.com/es/hotel/catalonia-park-guell?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=RUB,932 19 12 04,3.9,,"Passeig de la Mare de Déu del Coll, 10, Gràcia, 08023 Barcelona, Spain",Yes
Hotel Catalonia Park Güell,weddingscaribbean@cataloniahotels.com,https://www.cataloniahotels.com/es/hotel/catalonia-park-guell?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=RUB,932 19 12 04,3.9,,"Passeig de la Mare de Déu del Coll, 10, Gràcia, 08023 Barcelona, Spain",Yes
Hotel Catalonia Park Güell,dominicana.eventos@cataloniahotels.com,https://www.cataloniahotels.com/es/hotel/catalonia-park-guell?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=RUB,932 19 12 04,3.9,,"Passeig de la Mare de Déu del Coll, 10, Gràcia, 08023 Barcelona, Spain",Yes
Hotel Catalonia Park Güell,hello@bookinghello.comrelacionado,https://www.cataloniahotels.com/es/hotel/catalonia-park-guell?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=RUB,932 19 12 04,3.9,,"Passeig de la Mare de Déu del Coll, 10, Gràcia, 08023 Barcelona, Spain",Yes
Hotel Catalonia Park Güell,parkguell.reservas@cataloniahotels.com,https://www.cataloniahotels.com/es/hotel/catalonia-park-guell?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=RUB,932 19 12 04,3.9,,"Passeig de la Mare de Déu del Coll, 10, Gràcia, 08023 Barcelona, Spain",Yes
Hotel Catalonia Atenas,booking@cataloniahotels.com,https://www.cataloniahotels.com/es/hotel/catalonia-atenas?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=ATE,932 32 20 11,4.1,,"Avinguda Meridiana, 151, Sant Martí, 08026 Barcelona, Spain",Yes
Hotel Catalonia Atenas,mexico.eventos@cataloniahotels.com,https://www.cataloniahotels.com/es/hotel/catalonia-atenas?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=ATE,932 32 20 11,4.1,,"Avinguda Meridiana, 151, Sant Martí, 08026 Barcelona, Spain",Yes
Hotel Catalonia Atenas,congresos@cataloniahotels.com,https://www.cataloniahotels.com/es/hotel/catalonia-atenas?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=ATE,932 32 20 11,4.1,,"Avinguda Meridiana, 151, Sant Martí, 08026 Barcelona, Spain",Yes
Hotel Catalonia Atenas,weddingscaribbean@cataloniahotels.com,https://www.cataloniahotels.com/es/hotel/catalonia-atenas?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=ATE,932 32 20 11,4.1,,"Avinguda Meridiana, 151, Sant Martí, 08026 Barcelona, Spain",Yes
Hotel Catalonia Atenas,dominicana.eventos@cataloniahotels.com,https://www.cataloniahotels.com/es/hotel/catalonia-atenas?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=ATE,932 32 20 11,4.1,,"Avinguda Meridiana, 151, Sant Martí, 08026 Barcelona, Spain",Yes
Hotel Catalonia Atenas,hello@bookinghello.comrelacionado,https://www.cataloniahotels.com/es/hotel/catalonia-atenas?mb=1?utm_source=googlemaps&utm_medium=organic&utm_campaign=ATE,932 32 20 11,4.1,,"Avinguda Meridiana, 151, Sant Martí, 08026 Barcelona, Spain",Yes
